"PARAMETERS used:"
" - ELITISM","FALSE"
" - GENERATIONAL","TRUE"
" - Population size","100"
" - Tournament (%)","0.05"
" - Mutation rate (%)","0.05"
"--------------"
"Fitness_value","Individual"
"9834.07","0110100111110011101001001010110000101001101110010110000001010001"
"8668.3","0010111011011010101001001000110100101001101111001110101100010001"
"6605.75","0010111111010010111001001010110000011001101111001110101100010001"
"4374.29","0010101111010010111010001010110100111001111111000110001100010011"
"4355.64","0010101111010110111011001010110000111001111111000110001101110011"
"2257.97","0000101111010010011010001010110100011011011101000110000100010010"
"1739.42","0000101111110010011010001010010000001011011101000110000101010010"
"1416.53","0000101111110110011010001010110100101011111101000110011111010010"
"678.04","0001100110110110011011001010111100011011110101000110001111010010"
"58.14","0000100111110110011010001010010000001011111101000111001111010010"
"63.01","0000100111110110011010001010010000001011111101000110001111010010"
"4.87","0000100111110110011011001010010000001011111101000110001111010010"
"TOTAL GENERATIONS: ","12"
